NAME;ZUSATZ;STRASSE;NUMMER;PLZ;STADT;LAND;ADRESS_TYP;REFERENZ
Deutsche Hochschule der Polizei;;Zum Roten Berge;18;48165;Münster;DEU;HOUSE;462
Hochschule für Musik Nürnberg;;Veilhofstraße;34;90489;Nürnberg;DEU;HOUSE;455
Hochschule der Bildenden Künste Saar;;Keplerstraße;3-5;66117;Saarbrücken;DEU;HOUSE;445
Hochschule für Musik Saar;;Bismarckstraße;1;66111;Saarbrücken;DEU;HOUSE;423
Kunsthochschule für Medien Köln;;Peter-Welter-Platz;2;50676;Köln;DEU;HOUSE;418
Hochschule der Deutschen Bundesbank;;Schloss;;57620;Hachenburg;DEU;HOUSE;408
Musikhochschule Lübeck;;Große Petersgrube;21;23552;Lübeck;DEU;HOUSE;404
Norddeutsche Hochschule für Rechtspflege - Nieder;;Godehardspl.;6;31134;Hildesheim;DEU;HOUSE;404
Staatliche Hochschule für Musik Trossingen;;Schultheiß-Koch-Platz;3;78647;Trossingen;DEU;HOUSE;389
Hochschule für Fernsehen und Film München;;Bernd-Eichinger-Platz;1;80333;München;DEU;HOUSE;380
Staatliche Akademie der Bildenden Künste Karlsruh;;Reinhold-Frank-Straße;67;76062;Karlsruhe;DEU;HOUSE;360
Staatliche Hochschule für Gestaltung Karlsruhe;;Lorenzstr.;15;76135;Karlsruhe;DEU;HOUSE;360
Kunstakademie Münster, Hochschule für Bildende Kü;;Leonardo-Campus;2;48149;Münster;DEU;HOUSE;353
Norddeutsche Akademie für Finanzen und Steuerrech;;Hammer Steindamm;129;20535;Hamburg;DEU;HOUSE;349
Akademie der Bildenden Künste Nürnberg;;Bingstraße;60;90480;Nürnberg;DEU;HOUSE;297
Deutsche Universität für Verwaltungswissenschafte;;Freiherr-vom-Stein-Straße;2;67324;Speyer;DEU;HOUSE;262
Berufliche Hochschule Hamburg (BHH);;Anckelmannstraße;10;20537;Hamburg;DEU;HOUSE;219
Hochschule für Schauspielkunst Ernst Busch;;Zinnowitzer Straße;11;10115;Berlin;DEU;HOUSE;218
Palucca Hochschule für Tanz Dresden;;Basteiplatz;4;1277;Dresden;DEU;HOUSE;178
Hochschule für Bildende Künste (Städelschule);;Dürerstraße;10;60596;Frankfurt am Main;DEU;HOUSE;120
Archivschule Marburg - Hochschule für Archivwisse;;Bismarckstraße;32;35037;Marburg;DEU;HOUSE;73
Rheinland-Pfälzische Technische Universität Kaise;;Gottlieb-Daimler-Straße;47;67653;Kaiserslautern;DEU;HOUSE;
Universität Koblenz;;Universitätsstraße;1;56016;Koblenz;DEU;HOUSE;
Polizeiakademie Niedersachsen;;Bürgermeister-Stahn-Wall;9;31582;Nienburg;DEU;HOUSE;
Steuerakademie Niedersachsen;;Bahnhofstraße;5;31707;Bad Eilsen;DEU;HOUSE;
